iter	Passed	Remaining
1543	4950	4344
1544	4953	4341
1545	4955	4337
1546	4958	4333
1547	4961	4329
1548	4964	4326
1549	4966	4322
1550	4969	4318
1551	4971	4315
1552	4974	4311
1553	4977	4307
1554	4980	4304
1555	4982	4300
1556	4985	4297
1557	4988	4293
1558	4990	4289
1559	4993	4286
1560	4996	4282
1561	4999	4279
1562	5002	4275
1563	5004	4271
1564	5007	4268
1565	5010	4264
1566	5012	4261
1567	5015	4257
1568	5018	4254
1569	5021	4250
1570	5024	4246
1571	5026	4243
1572	5029	4239
1573	5032	4236
1574	5034	4232
1575	5037	4228
1576	5040	4225
1577	5042	4221
1578	5045	4217
1579	5048	4214
1580	5050	4210
1581	5053	4206
1582	5056	4203
1583	5058	4199
1584	5061	4196
1585	5064	4192
1586	5066	4188
1587	5069	4185
1588	5072	4181
1589	5074	4178
1590	5078	4174
1591	5081	4172
1592	5085	4169
1593	5088	4165
1594	5091	4162
1595	5093	4158
1596	5096	4155
1597	5099	4151
1598	5102	4148
1599	5104	4144
1600	5107	4141
1601	5110	4137
1602	5113	4133
1603	5115	4130
1604	5118	4126
1605	5122	4123
1606	5125	4120
1607	5128	4117
1608	5130	4113
1609	5132	4109
1610	5135	4106
1611	5139	4103
1612	5142	4099
1613	5145	4096
1614	5148	4092
1615	5150	4089
1616	5153	4085
1617	5156	4082
1618	5159	4078
1619	5161	4075
1620	5164	4071
1621	5167	4068
1622	5169	4064
1623	5172	4061
1624	5175	4057
1625	5178	4054
1626	5180	4050
1627	5183	4046
1628	5186	4043
1629	5189	4039
1630	5191	4036
1631	5194	4032
1632	5197	4029
1633	5200	4025
1634	5203	4022
1635	5206	4019
1636	5209	4015
1637	5213	4013
1638	5220	4013
1639	5225	4011
1640	5231	4010
1641	5236	4008
1642	5241	4006
1643	5246	4004
1644	5251	4003
1645	5256	4001
1646	5261	3999
1647	5267	3998
1648	5272	3996
1649	5277	3995
1650	5282	3993
1651	5287	3991
1652	5293	3989
1653	5298	3988
1654	5303	3986
1655	5309	3985
1656	5314	3983
1657	5319	3981
1658	5324	3979
1659	5329	3978
1660	5335	3976
1661	5340	3974
1662	5345	3972
1663	5350	3971
1664	5353	3967
1665	5356	3964
1666	5359	3961
1667	5363	3958
1668	5366	3954
